
@RELATION cluster_type

@ATTRIBUTE text_ratio	REAL
@ATTRIBUTE tag_ratio 	REAL
@ATTRIBUTE max_weight 	REAL
@ATTRIBUTE num_big   	REAL
@ATTRIBUTE class 	{DOCUMENT,LINKS,INVALID}

@DATA

%10jqka.com.cn
0.0,0.0,3413,0,LINKS
0.4112086428089129,0.35555555555555557,727,5,LINKS
0.4219298245614035,0.4,806,3,LINKS
0.2087369420702754,0.37735849056603776,272,5,LINKS
0.38054968287526425,0.4,158,2,LINKS
0.056810845706907684,0.36363636363636365,861,1,LINKS

%gmw.com
0.8705103969754253,0.7088607594936709,119,14,DOCUMENT
0.9169675090252708,0.8571428571428571,131,2,DOCUMENT
0.44126984126984126,0.7142857142857143,393,3,LINKS
0.9698205546492659,0.8461538461538461,792,4,DOCUMENT
0.8146997929606625,0.6875,114,12,DOCUMENT
0.769281914893617,0.6875,115,12,DOCUMENT
0.8310526315789474,0.6875,114,12,DOCUMENT
0.8181355068772287,0.6875,116,12,DOCUMENT
0.7975929978118161,0.6875,115,12,DOCUMENT
0.793168880455408,0.6875,109,12,DOCUMENT

%ifeng.com
